field,data
surfed_waves,1
unsurfed_waves,8
avg_number_of_surfers,1
avg_height_wave_surfer_ratio,1.0307692307692307
max_height_wave_surfer_ratio,1.0307692307692307
avg_wave_velocity[pixels/frames],0.9915008675533075
avg_surfers_velocity[pixels/frames],0.48036725372806766
